0x00000000,0
0x03000000,1
0x05000000,2
0x08000000,3
0x0A000000,4
0x0D000000,5
0x0F000000,6
0x12000000,7
0x14000000,8
0x17000000,9
0x1A000000,10
0x1C000000,11
0x1F000000,12
0x21000000,13
0x24000000,14
0x26000000,15
0x29000000,16
0x2B000000,17
0x2E000000,18
0x30000000,19
0x33000000,20
0x36000000,21
0x38000000,22
0x3B000000,23
0x3D000000,24
0x40000000,25
0x42000000,26
0x45000000,27
0x47000000,28
0x4A000000,29
0x4D000000,30
0x4F000000,31
0x52000000,32
0x54000000,33
0x57000000,34
0x59000000,35
0x5C000000,36
0x5E000000,37
0x61000000,38
0x63000000,39
0x66000000,40
0x69000000,41
0x6B000000,42
0x6E000000,43
0x70000000,44
0x73000000,45
0x75000000,46
0x78000000,47
0x7A000000,48
0x7D000000,49
0x80000000,50
0x82000000,51
0x85000000,52
0x87000000,53
0x8A000000,54
0x8C000000,55
0x8F000000,56
0x91000000,57
0x94000000,58
0x96000000,59
0x99000000,60
0x9C000000,61
0x9E000000,62
0xA1000000,63
0xA3000000,64
0xA6000000,65
0xA8000000,66
0xAB000000,67
0xAD000000,68
0xB0000000,69
0xB3000000,70
0xB5000000,71
0xB8000000,72
0xBA000000,73
0xBD000000,74
0xBF000000,75
0xC2000000,76
0xC4000000,77
0xC7000000,78
0xC9000000,79
0xCC000000,80
0xCF000000,81
0xD1000000,82
0xD4000000,83
0xD6000000,84
0xD9000000,85
0xDB000000,86
0xDE000000,87
0xE0000000,88
0xE3000000,89
0xE6000000,90
0xE8000000,91
0xEB000000,92
0xED000000,93
0xF0000000,94
0xF2000000,95
0xF5000000,96
0xF7000000,97
0xFA000000,98
0xFC000000,99
0xFF000000,100
